Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1269,1269,1269,"0,00","0,00%",",8","1,76","2286,0"
get Workspace,1,235,235,235,"0,00","0,00%","4,3","3,40","819,0"
delete Projects,2,317,229,406,"88,50","100,00%","3,1","2,47","804,5"
Tear Down,1,2139,2139,2139,"0,00","100,00%",",5","2,15","4714,0"
Create projects Sprint,1,826,826,826,"0,00","0,00%","1,2","1,90","1604,0"
create story In Projects Sprint,5,486,375,783,"151,46","0,00%","2,1","2,50","1245,4"
get Stories Done,1,312,312,312,"0,00","0,00%","3,2","9,14","2920,0"
Debug Sampler,1,0,0,0,"0,00","0,00%",",0","0,00","679,0"
TOTAL,13,603,0,2139,"540,52","23,08%","2,3","3,54","1604,5"
