Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create ProjectA,1,1403,1403,1403,"0,00","0,00%",",7","1,11","1593,0"
create ProjectB,1,397,397,397,"0,00","0,00%","2,5","3,92","1593,0"
Create WorkSpace A,1,223,223,223,"0,00","100,00%","4,5","4,37","997,0"
Update WorkSpace A,1,596,596,596,"0,00","100,00%","1,7","1,27","774,0"
Create WorkSpace B,1,220,220,220,"0,00","100,00%","4,5","4,41","993,0"
create story In Projects A,2,413,411,415,"2,00","0,00%","1,7","1,93","1192,0"
create story In Projects B,2,565,380,751,"185,50","0,00%","1,3","1,53","1208,0"
TOTAL,9,532,220,1403,"345,31","33,33%","1,9","2,19","1194,4"
