Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create ProjectA,1,1447,1447,1447,"0,00","0,00%",",7","1,08","1593,0"
create ProjectB,1,420,420,420,"0,00","0,00%","2,4","3,70","1593,0"
Create WorkSpace A,1,224,224,224,"0,00","100,00%","4,5","4,32","991,0"
Update WorkSpace A,1,592,592,592,"0,00","100,00%","1,7","1,28","774,0"
Create WorkSpace B,1,233,233,233,"0,00","100,00%","4,3","4,19","999,0"
create story In Projects A,2,446,416,477,"30,50","0,00%","1,6","1,80","1189,0"
create story In Projects B,2,601,394,809,"207,50","0,00%","1,2","1,46","1208,0"
TOTAL,9,556,224,1447,"356,58","33,33%","1,8","2,09","1193,8"
