Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create start user stories:create project,50,1235,1122,1408,96.60,0.00%,21.4,33.46,1599.5
Create start user stories:create story,50,950,771,1221,117.07,46.00%,21.5,17.70,841.6
Create start user stories:set Story name,50,1084,618,3629,723.50,46.00%,11.5,11.14,988.3
Create start user stories:set Story type,50,795,617,1447,222.67,46.00%,11.8,11.36,986.4
Create start user stories:start Story,50,706,581,842,83.59,48.00%,12.2,11.17,938.8
Create start user stories:src,50,4772,3879,7132,761.17,48.00%,1.8,9.49,5354.6
Create start user stories:Delete project,50,297,197,391,61.88,28.00%,13.6,8.07,605.9
Create start user stories:TearDown,50,297,197,391,61.88,28.00%,10.7,6.34,605.9
Create start user stories:Debug Sampler,50,0,0,1,0.44,0.00%,15.1,138.78,9421.8
TOTAL,450,1126,0,7132,1392.71,32.22%,15.1,34.94,2371.4
