Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create start user stories:create project,50,1273,1118,1884,134.40,0.00%,21.5,33.61,1599.6
Create start user stories:create story,50,974,755,1546,163.02,42.00%,22.0,18.75,872.5
Create start user stories:set Story name,50,814,627,1499,219.91,42.00%,19.4,19.04,1003.8
Create start user stories:set Story type,50,709,606,826,67.07,42.00%,19.8,19.41,1001.5
Create start user stories:start Story,50,728,610,847,84.79,42.00%,19.4,18.95,999.4
Create start user stories:src,50,4500,3821,5504,417.47,42.00%,1.9,10.29,5476.9
Create start user stories:Delete project,50,311,197,656,78.95,26.00%,23.4,14.03,614.1
Create start user stories:TearDown,50,311,197,656,78.95,26.00%,15.9,9.56,614.1
Create start user stories:Debug Sampler,50,0,0,1,0.38,0.00%,27.8,255.88,9422.2
TOTAL,450,1069,0,5504,1278.76,29.11%,16.0,37.44,2400.5
