Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create and set epics on project:create project,50,1438,1196,1974,206.05,0.00%,17.9,27.98,1599.7
Create and set epics on project:create epics,50,1095,862,1522,123.18,6.00%,19.0,22.23,1199.2
Create and set epics on project:set epic description,50,0,0,0,0.00,100.00%,28.9,30.70,1089.0
Create and set epics on project:add epic comment,50,0,0,0,0.00,100.00%,28.9,30.94,1098.0
Create and set epics on project:src,50,2533,2099,3154,263.01,100.00%,2.5,12.24,4985.9
Create and set epics on project:Delete project,50,736,689,1732,142.93,0.00%,20.4,14.39,721.0
Create and set epics on project:TearDown,50,736,689,1732,142.93,0.00%,20.4,14.39,721.0
Create and set epics on project:Debug Sampler,50,0,0,1,0.24,0.00%,29.3,270.15,9427.7
TOTAL,400,817,0,3154,836.11,38.25%,19.4,49.38,2605.2
