Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,100,228766,27327,464897,"168551,32","70,00%",",2","11,11","52889,6"
get Workspace,77,13688,2373,176151,"21282,82","61,04%",",2","0,10","508,3"
Tear Down,47,91413,36803,316431,"70646,51","100,00%",",1","0,11","760,8"
Create projects A,47,11329,3818,51467,"9405,92","53,19%",",2","0,14","913,4"
create story In Projects Sprint,233,13371,3139,403315,"30568,94","78,97%",",6","0,32","595,9"
GetAllStories,46,13219,2997,201472,"28674,49","80,43%",",2","0,12","707,6"
Delete Comments,46,0,0,0,"0,00","100,00%",",2","0,19","1118,2"
Debug Sampler,46,0,0,0,"0,00","0,00%",",2","0,09","555,8"
uptade Stories,17,10960,4691,27568,"6541,51","23,53%",",1","0,11","1203,5"
uptade Stories with comments,17,8218,3221,21301,"4367,99","52,94%",",1","0,06","670,4"
delete Projects,1243,3928,485,58787,"4285,22","99,44%","4,2","1,91","469,6"
TOTAL,1919,19641,0,464897,"66052,11","88,85%","4,1","13,17","3267,7"
