Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create start user stories:create project,100,1840,1209,3178,460.45,0.00%,24.9,38.87,1599.2
Create start user stories:create story,100,1247,777,2518,421.44,18.00%,28.4,29.31,1055.6
Create start user stories:set Story name,100,889,617,2306,313.79,18.00%,27.7,29.71,1100.0
Create start user stories:set Story type,100,690,576,1341,99.98,55.00%,27.4,20.36,760.7
Create start user stories:start Story,100,1090,623,2551,528.76,55.00%,21.7,22.02,1040.7
Create start user stories:src,100,5759,3977,7952,827.76,55.00%,3.5,19.18,5556.1
Create start user stories:Delete project,100,506,303,888,202.03,0.00%,22.3,15.73,721.0
Create start user stories:TearDown,100,506,303,888,202.03,0.00%,18.3,12.86,721.0
Create start user stories:Debug Sampler,100,0,0,1,0.43,0.00%,24.4,224.39,9425.2
TOTAL,900,1392,0,7952,1672.70,22.33%,29.1,69.30,2442.2
