Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1434,1434,1434,"0,00","0,00%",",7","3,58","5257,0"
get Workspace,1,225,225,225,"0,00","0,00%","4,4","3,55","819,0"
delete Projects,6,375,227,653,"142,30","100,00%","2,7","2,09","805,5"
Tear Down,1,3911,3911,3911,"0,00","100,00%",",3","2,72","10909,0"
Create projects AddMenbers,1,457,457,457,"0,00","0,00%","2,2","3,41","1595,0"
Get person 1,1,663,663,663,"0,00","0,00%","1,5","2,08","1410,0"
Get person 2,1,245,245,245,"0,00","0,00%","4,1","5,61","1408,0"
Add Member Ships,1,432,432,432,"0,00","0,00%","2,3","2,86","1265,0"
Add Member Ship person B,1,403,403,403,"0,00","0,00%","2,5","3,05","1258,0"
Debug Sampler,2,0,0,0,"0,00","0,00%",",3","0,27","851,0"
create story In Projects Sprint,5,474,376,806,"165,92","0,00%","2,1","2,49","1211,4"
GetAllStories,1,288,288,288,"0,00","0,00%","3,5","9,24","2725,0"
uptade Stories,5,684,500,905,"182,64","0,00%","1,5","1,78","1249,2"
TOTAL,27,596,0,3911,"711,70","25,93%","2,2","3,64","1684,6"
