Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1171,1171,1171,"0,00","0,00%",",9","1,91","2293,0"
get Workspace,1,226,226,226,"0,00","0,00%","4,4","3,54","819,0"
delete Projects,2,344,339,350,"5,50","100,00%","2,9","1,21","428,0"
Tear Down,1,2086,2086,2086,"0,00","100,00%",",5","1,86","3968,0"
Create projects AddMenbers,1,822,822,822,"0,00","0,00%","1,2","1,89","1595,0"
Get person 1,1,245,245,245,"0,00","0,00%","4,1","5,62","1410,0"
Get person 2,1,253,253,253,"0,00","0,00%","4,0","5,41","1402,0"
Add Member Ships,1,400,400,400,"0,00","0,00%","2,5","3,07","1259,0"
Add Member Ship person B,1,382,382,382,"0,00","0,00%","2,6","3,23","1264,0"
Debug Sampler,2,0,0,1,"0,50","0,00%",",3","0,24","759,0"
create story In Projects Sprint,5,577,390,847,"215,16","0,00%","1,7","2,05","1212,6"
GetAllStories,1,263,263,263,"0,00","0,00%","3,8","10,14","2732,0"
uptade Stories,5,599,508,923,"161,88","0,00%","1,7","2,03","1246,8"
TOTAL,23,540,0,2086,"432,53","13,04%","2,2","2,97","1365,8"
