Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1260,1260,1260,"0,00","0,00%",",8","4,08","5258,0"
get Workspace,1,237,237,237,"0,00","0,00%","4,2","3,37","819,0"
delete Projects,6,377,250,630,"121,45","50,00%","2,6","2,14","827,8"
Tear Down,1,3764,3764,3764,"0,00","100,00%",",3","2,86","11044,0"
Create projects AddMenbers,1,393,393,393,"0,00","0,00%","2,5","3,98","1601,0"
Get person 1,1,650,650,650,"0,00","0,00%","1,5","2,12","1410,0"
Get person 2,1,243,243,243,"0,00","0,00%","4,1","5,65","1407,0"
Add Member Ships,1,435,435,435,"0,00","0,00%","2,3","2,84","1265,0"
Add Member Ship person B,1,422,422,422,"0,00","0,00%","2,4","2,93","1264,0"
Debug Sampler,2,0,0,1,"0,50","0,00%",",3","0,27","851,0"
create story In Projects Sprint,5,485,383,842,"179,15","0,00%","2,1","2,43","1211,4"
GetAllStories,1,648,648,648,"0,00","0,00%","1,5","4,12","2732,0"
uptade Stories,5,602,511,932,"165,18","0,00%","1,7","2,02","1248,0"
TOTAL,27,583,0,3764,"674,15","14,81%","2,2","3,72","1695,0"
