Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1315,1315,1315,"0,00","0,00%",",8","3,92","5272,0"
get Workspace,1,235,235,235,"0,00","0,00%","4,3","3,40","819,0"
delete Projects,6,373,226,611,"130,80","100,00%","2,7","2,10","806,5"
Tear Down,1,3793,3793,3793,"0,00","100,00%",",3","2,81","10930,0"
Create projects AddMenbers,1,414,414,414,"0,00","0,00%","2,4","3,78","1601,0"
Get person 1,1,620,620,620,"0,00","0,00%","1,6","2,23","1416,0"
Add Member Ships,1,434,434,434,"0,00","0,00%","2,3","2,83","1259,0"
Debug Sampler,1,0,0,0,"0,00","0,00%",",0","0,00","699,0"
create story In Projects Sprint,5,461,380,768,"153,39","0,00%","2,2","2,56","1210,2"
TOTAL,18,631,0,3793,"811,99","38,89%","2,4","4,24","1827,0"
