Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create and set epics on project:create project,100,1771,1281,3163,425.39,0.00%,25.5,39.84,1599.4
Create and set epics on project:create epics,100,1205,751,2567,298.77,15.00%,28.9,31.72,1124.0
Create and set epics on project:set epic description,100,0,0,0,0.00,100.00%,39.2,41.70,1089.0
Create and set epics on project:add epic comment,100,0,0,0,0.00,100.00%,39.2,42.03,1098.0
Create and set epics on project:src,100,2976,2125,4564,497.55,100.00%,4.8,23.07,4910.4
Create and set epics on project:Delete project,100,852,689,2303,267.93,0.00%,28.0,19.69,721.0
Create and set epics on project:TearDown,100,852,689,2303,267.93,0.00%,28.0,19.69,721.0
Create and set epics on project:Debug Sampler,100,0,0,1,0.39,0.00%,34.6,318.81,9428.2
TOTAL,800,957,0,4564,1014.35,39.38%,36.7,92.64,2586.4
