Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create and set epics on project:create project,100,1698,1298,3098,345.69,0.00%,25.6,39.92,1599.1
Create and set epics on project:create epics,100,1348,822,2633,345.23,8.00%,28.2,32.57,1182.3
Create and set epics on project:set epic description,100,0,0,0,0.00,100.00%,39.4,41.89,1089.0
Create and set epics on project:add epic comment,100,0,0,0,0.00,100.00%,39.4,42.23,1098.0
Create and set epics on project:src,100,3047,2185,4003,466.00,100.00%,4.8,23.25,4968.5
Create and set epics on project:Delete project,100,903,694,1721,281.11,0.00%,29.7,20.92,721.0
Create and set epics on project:TearDown,100,903,694,1721,281.11,0.00%,29.7,20.92,721.0
Create and set epics on project:Debug Sampler,100,0,0,1,0.40,0.00%,38.2,351.57,9428.5
TOTAL,800,987,0,4003,1026.82,38.50%,36.9,93.68,2600.9
