Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create task on Story:create project,50,1279,1132,1765,119.98,0.00%,21.7,33.88,1598.5
Create task on Story:create story,50,1080,702,1703,245.84,34.00%,20.4,18.58,933.1
Create task on Story:set Story,50,541,230,842,250.25,34.00%,20.0,20.46,1045.3
Create task on Story:create task to story,250,520,190,1450,233.78,36.40%,27.0,24.56,929.9
Create task on Story:src,50,5503,4499,6838,623.37,44.00%,3.2,25.80,8226.6
Create task on Story:Delete project,50,457,189,762,191.79,12.00%,16.3,10.70,671.7
Create task on Story:TearDown,50,457,189,762,191.79,12.00%,16.3,10.70,671.7
Create task on Story:Debug Sampler,50,0,0,1,0.37,0.00%,18.6,170.63,9417.8
TOTAL,600,993,0,6838,1419.67,26.50%,37.8,83.66,2267.9
