Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,100,204390,28032,464466,"157864,84","64,00%",",2","13,32","63416,8"
get Workspace,85,12550,2673,88076,"13126,20","68,24%",",2","0,10","470,5"
Tear Down,49,86226,37012,329046,"72773,62","100,00%",",1","0,10","670,0"
Create projects AddMenbers,49,10525,3453,27169,"7136,89","73,47%",",2","0,11","651,5"
Get person 1,49,14917,3479,86044,"13921,10","0,00%",",2","0,37","2275,5"
Add Member Ships,49,12471,3112,64439,"11356,45","100,00%",",2","0,09","518,0"
Debug Sampler,49,0,0,1,"0,33","0,00%",",2","0,09","541,8"
create story In Projects Sprint,245,12623,2818,345645,"25139,67","100,00%",",6","0,34","576,0"
delete Projects,1510,4162,468,49349,"4558,89","98,41%","4,9","2,23","470,3"
TOTAL,2185,16918,0,464466,"56559,64","90,94%","4,7","15,67","3414,7"
