Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create ProjectA,100,43730,2443,465908,"81928,61","22,00%",",2","0,30","1425,8"
create ProjectB,98,22545,3541,450950,"49827,67","36,73%",",2","0,24","1152,5"
Create WorkSpace A,97,12637,3511,62692,"9995,21","100,00%",",3","0,23","765,1"
Update WorkSpace A,97,14099,3689,187826,"21576,61","100,00%",",3","0,13","439,2"
Create WorkSpace B,97,10967,3150,63271,"10705,82","100,00%",",3","0,15","487,0"
create story In Projects A,194,11025,3105,63792,"10513,54","69,07%",",6","0,38","620,9"
create story In Projects B,194,13911,3074,386309,"30320,23","77,84%",",5","0,27","599,7"
TOTAL,877,17192,2443,465908,"38049,70","72,29%","1,9","1,37","748,4"
