Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Delete all Stories:create project,50,1360,1186,1633,138.41,0.00%,19.9,31.15,1599.1
Delete all Stories:create story,250,857,681,1646,173.34,7.20%,6.1,6.88,1151.3
Delete all Stories:set Story type,250,755,611,1358,61.95,7.20%,6.1,7.01,1172.7
Delete all Stories:Get All Stories,50,770,619,3619,423.30,0.00%,10.3,25.80,2566.3
Delete all Stories:delete story,232,779,704,1004,54.18,0.86%,9.0,6.30,719.5
Delete all Stories:src,50,13813,12375,15713,735.31,40.00%,.6,10.56,19124.2
Delete all Stories:Delete project,50,341,301,587,48.61,0.00%,6.0,4.23,722.0
Delete all Stories:TearDown,50,341,301,587,48.61,0.00%,5.4,3.77,722.0
Delete all Stories:Debug Sampler,50,0,0,1,0.37,0.00%,6.2,58.09,9535.1
TOTAL,1032,1371,0,15713,2826.93,5.62%,11.4,26.44,2385.1
