Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1210,1210,1210,"0,00","0,00%",",8","4,25","5272,0"
get Workspace,1,223,223,223,"0,00","0,00%","4,5","3,59","819,0"
delete Projects,6,415,316,698,"129,54","33,33%","2,4","1,46","623,5"
Tear Down,1,3925,3925,3925,"0,00","100,00%",",3","2,45","9832,0"
Create projects A,1,438,438,438,"0,00","0,00%","2,3","3,57","1601,0"
create story In Projects Sprint,5,569,387,843,"205,66","0,00%","1,8","2,05","1198,4"
GetAllStories,1,297,297,297,"0,00","0,00%","3,4","8,77","2667,0"
uptade Stories,5,515,398,814,"153,52","0,00%","1,9","2,80","1481,4"
uptade Stories with comments,5,510,399,807,"149,75","0,00%","2,0","2,05","1074,0"
Delete Comments,1,752,752,752,"0,00","0,00%","1,3","0,94","722,0"
Debug Sampler,1,0,0,0,"0,00","0,00%",",0","0,00","916,0"
TOTAL,28,618,0,3925,"678,46","10,71%","2,1","3,23","1583,5"
