Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1292,1292,1292,"0,00","0,00%",",8","1,73","2286,0"
get Workspace,1,219,219,219,"0,00","0,00%","4,6","3,65","819,0"
delete Projects,2,340,246,434,"94,00","100,00%","2,9","2,31","804,5"
Tear Down,1,2191,2191,2191,"0,00","100,00%",",5","2,10","4714,0"
Create projects A,1,791,791,791,"0,00","0,00%","1,3","1,97","1595,0"
create story In Projects Sprint,5,519,391,830,"163,30","0,00%","1,9","2,25","1197,2"
GetAllStories,1,292,292,292,"0,00","0,00%","3,4","8,90","2660,0"
uptade Stories,5,538,409,802,"149,92","0,00%","1,9","2,68","1479,0"
uptade Stories with comments,5,597,403,844,"196,04","0,00%","1,7","1,76","1075,2"
Delete Comments,1,344,344,344,"0,00","0,00%","2,9","2,05","722,0"
Debug Sampler,1,1,1,1,"0,00","0,00%","1000,0","805,66","825,0"
TOTAL,24,586,1,2191,"425,68","12,50%","2,0","2,79","1416,1"
