Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,100,238939,28681,466856,"150513,07","51,00%",",2","14,34","68578,9"
get Workspace,81,11481,2807,65931,"8351,86","61,73%",",2","0,11","504,8"
Tear Down,32,84028,34380,314105,"60317,00","100,00%",",1","0,07","699,5"
Create projects Sprint,32,16592,3510,117019,"23765,00","75,00%",",1","0,07","629,9"
create story In Projects Sprint,160,10998,3043,67775,"9941,64","93,75%",",5","0,26","530,9"
get Stories Done,32,18157,3012,266710,"46827,91","100,00%",",1","0,05","629,3"
Debug Sampler,31,0,0,0,"0,00","0,00%",",1","0,06","515,3"
delete Projects,2221,4223,473,45247,"4766,79","99,05%","6,4","2,89","466,2"
TOTAL,2689,14788,0,466856,"54469,81","94,42%","5,8","16,94","3011,5"
