Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1359,1359,1359,"0,00","0,00%",",7","3,76","5238,0"
get Workspace,1,224,224,224,"0,00","0,00%","4,5","3,57","819,0"
delete Projects,6,377,228,627,"136,32","100,00%","2,6","2,08","805,5"
Tear Down,1,3848,3848,3848,"0,00","100,00%",",3","2,76","10890,0"
Create projects Sprint,1,426,426,426,"0,00","0,00%","2,3","3,68","1604,0"
create story In Projects Sprint,5,479,393,768,"144,54","0,00%","2,1","2,53","1244,2"
get Stories Done,1,668,668,668,"0,00","0,00%","1,5","4,27","2920,0"
Debug Sampler,1,0,0,0,"0,00","0,00%",",0","0,00","771,0"
TOTAL,17,658,0,3848,"846,78","41,18%","2,3","4,42","1958,6"
