Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1387,1387,1387,"0,00","0,00%",",7","3,69","5238,0"
get Workspace,1,228,228,228,"0,00","0,00%","4,4","3,51","819,0"
delete Projects,6,374,251,720,"163,85","100,00%","2,7","2,10","806,5"
Tear Down,1,3863,3863,3863,"0,00","100,00%",",3","2,75","10896,0"
Create projects Sprint,1,400,400,400,"0,00","0,00%","2,5","3,92","1605,0"
create story In Projects Sprint,5,559,391,797,"182,20","0,00%","1,8","2,17","1246,6"
get Stories Done,1,326,326,326,"0,00","0,00%","3,1","8,75","2920,0"
Debug Sampler,1,0,0,0,"0,00","0,00%",",0","0,00","771,0"
TOTAL,17,661,0,3863,"855,94","41,18%","2,3","4,39","1960,1"
