Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1140,1140,1140,"0,00","0,00%",",9","1,96","2293,0"
get Workspace,1,236,236,236,"0,00","0,00%","4,2","3,39","819,0"
delete Projects,2,338,330,346,"8,00","0,00%","3,0","2,08","721,0"
Tear Down,1,2052,2052,2052,"0,00","0,00%",",5","2,17","4554,0"
Create projects AddMenbers,1,813,813,813,"0,00","0,00%","1,2","1,92","1601,0"
Get person 1,1,244,244,244,"0,00","0,00%","4,1","5,62","1404,0"
Add Member Ships,1,308,308,308,"0,00","100,00%","3,2","2,87","906,0"
Debug Sampler,1,0,0,0,"0,00","0,00%",",0","0,00","601,0"
create story In Projects Sprint,5,374,269,673,"154,82","100,00%","2,7","2,88","1104,0"
TOTAL,14,524,0,2052,"505,82","42,86%","2,6","3,53","1367,1"
